(6604)[2018-08-24 10:18:37.915669] [LM_DEBUG]  AsyncActivationManager: refreshing on operation, waiting 6
(6604)[2018-08-24 10:18:37.915669] [LM_DEBUG]  CONF: --> StartAceService
(6604)[2018-08-24 10:18:37.915669] [LM_DEBUG]  Checking signature for configuration file COMEventHandler.dll
(6604)[2018-08-24 10:18:37.915669] [LM_DEBUG]  Verifying signature
(6604)[2018-08-24 10:18:37.946644] [LM_DEBUG]  VerifyFileSignature: The file is signed and the signature was verified.
(6604)[2018-08-24 10:18:37.946644] [LM_DEBUG]  Verifying certificate name
(6604)[2018-08-24 10:18:37.948001] [LM_DEBUG]  VerifyCertificateName: File is signed by Intel
(6604)[2018-08-24 10:18:37.948001] [LM_DEBUG]  Checking version for configuration file COMEventHandler.dll
(6604)[2018-08-24 10:18:37.948001] [LM_DEBUG]  GetAppVersion: Got version: 11.7.0.1054
(6604)[2018-08-24 10:18:37.948001] [LM_DEBUG]  CompareVersions: C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\LMS\COMEventHandler.dll version is equal or newer than LMS.
(6604)[2018-08-24 10:18:37.948998] [LM_DEBUG]  Version is valid
(6604)[2018-08-24 10:18:37.949327] [LM_DEBUG]  GMSC: --> initSubService
(6604)[2018-08-24 10:18:37.950321] [LM_DEBUG]  COMEventHandler
(6604)[2018-08-24 10:18:37.950321] [LM_DEBUG]  GMSC: <-- initSubService
(6604)[2018-08-24 10:18:37.950321] [LM_DEBUG]  GmsService: sending message to EventManager
(6604)[2018-08-24 10:18:37.950321] [LM_DEBUG]  GmsService: sending message - found destination service
(6604)[2018-08-24 10:18:37.950321] [LM_DEBUG]  CONF: <-- StartAceService
(6604)[2018-08-24 10:18:37.950321] [LM_DEBUG]  CONF: --> StartAceService
(6604)[2018-08-24 10:18:37.950321] [LM_DEBUG]  Checking signature for configuration file HistoryEventHandler.dll
(6604)[2018-08-24 10:18:37.950321] [LM_DEBUG]  Verifying signature
(6604)[2018-08-24 10:18:37.982068] [LM_DEBUG]  VerifyFileSignature: The file is signed and the signature was verified.
(6604)[2018-08-24 10:18:37.982068] [LM_DEBUG]  Verifying certificate name
(6604)[2018-08-24 10:18:37.983066] [LM_DEBUG]  VerifyCertificateName: File is signed by Intel
(6604)[2018-08-24 10:18:37.983066] [LM_DEBUG]  Checking version for configuration file HistoryEventHandler.dll
(6604)[2018-08-24 10:18:37.984747] [LM_DEBUG]  GetAppVersion: Got version: 11.7.0.1054
(6604)[2018-08-24 10:18:37.984747] [LM_DEBUG]  CompareVersions: C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\LMS\HistoryEventHandler.dll version is equal or newer than LMS.
(6604)[2018-08-24 10:18:37.984747] [LM_DEBUG]  Version is valid
(6604)[2018-08-24 10:18:37.985787] [LM_DEBUG]  GMSC: --> initSubService
(6604)[2018-08-24 10:18:37.985787] [LM_DEBUG]  HistoryEventHandler
(6604)[2018-08-24 10:18:37.985787] [LM_DEBUG]  GMSC: <-- initSubService
(6604)[2018-08-24 10:18:37.985787] [LM_DEBUG]  GmsService: sending message to EventManager
(6604)[2018-08-24 10:18:37.985787] [LM_DEBUG]  GmsService: sending message - found destination service
(6604)[2018-08-24 10:18:37.985787] [LM_DEBUG]  CONF: <-- StartAceService
(6604)[2018-08-24 10:18:37.985787] [LM_DEBUG]  CONF: --> StartAceService
